Player,Overall_Shooting_Rating,Total_Shots,Goals,Goal_Rate_%,Avg_Shot_Quality,Shot_Consistency,Best_Shot,Worst_Shot
felipe santana,55.7,31,5,16.1,53.3,24.0,97.0,13.0
bacary sagna,55.7,23,0,0.0,55.7,22.7,98.0,33.0
jaroslav plasil,55.7,166,9,5.4,54.9,23.1,100.0,25.0
panagiotis tachtsidis,55.7,112,9,8.0,54.5,23.4,100.0,13.0
michele pazienza,55.7,26,2,7.7,54.6,23.5,99.0,33.0
hugo mallo,55.7,54,4,7.4,54.6,22.8,96.0,30.0
jesus gamez,55.6,34,0,0.0,55.6,23.0,95.0,32.0
alejandro galvez,55.6,61,7,11.5,53.8,23.8,99.0,13.0
adil rami,55.6,79,6,7.6,54.4,22.3,97.0,26.0
esteban granero,55.6,44,0,0.0,55.6,22.1,99.0,34.0
alessandro diamanti,55.6,386,21,5.4,54.8,22.4,100.0,26.0
nemanja matic,55.6,85,3,3.5,55.1,21.6,100.0,34.0
matteo brighi,55.6,58,4,6.9,54.6,21.7,100.0,32.0
giuseppe vives,55.6,85,3,3.5,55.1,23.7,100.0,32.0
russell martin,55.6,32,3,9.4,54.2,22.2,98.0,33.0
matthew taylor,55.6,23,0,0.0,55.6,21.6,95.0,35.0
gonzalo escalante,55.5,33,4,12.1,53.7,20.8,98.0,30.0
sanjin prcic,55.5,59,2,3.4,55.0,22.0,97.0,32.0
gregory proment,55.5,22,2,9.1,54.1,21.7,90.0,32.0
marco van ginkel,55.5,21,1,4.8,54.8,21.3,100.0,35.0
kenwyne jones,55.5,17,1,5.9,64.4,25.6,97.0,35.0
marco biagianti,55.5,28,0,0.0,55.5,23.7,98.0,33.0
marvin bakalorz,55.5,33,1,3.0,55.1,22.1,97.0,30.0
kader mangane,55.5,24,3,12.5,53.6,20.3,99.0,33.0
david luiz,55.5,92,3,3.3,55.0,22.5,98.0,28.0
marti,55.4,23,2,8.7,54.1,23.0,91.0,31.0
matias vecino,55.4,137,4,2.9,55.0,22.6,99.0,31.0
bebe,55.4,146,5,3.4,54.9,22.2,100.0,26.0
stephane mbia,55.4,54,8,14.8,53.2,22.3,100.0,33.0
elkin soto,55.4,78,6,7.7,54.3,21.0,98.0,31.0
lorenzo ariaudo,55.4,21,1,4.8,54.7,21.1,97.0,30.0
jurado,55.4,49,0,0.0,55.4,22.3,95.0,33.0
andrea lazzari,55.4,113,5,4.4,54.7,23.8,100.0,13.0
thorben marx,55.4,22,2,9.1,54.0,23.0,95.0,26.0
ion ansotegi,55.4,27,2,7.4,53.7,18.8,96.0,39.0
kalidou koulibaly,55.4,21,2,9.5,54.0,22.9,96.0,31.0
andreu fontas,55.4,23,1,4.3,54.4,19.3,99.0,35.0
achraf lazaar,55.4,58,3,5.2,54.6,23.1,100.0,26.0
jonathan,55.3,90,6,6.7,54.3,20.8,99.0,30.0
jerome boateng,55.3,55,3,5.5,54.5,20.9,97.0,33.0
scott arfield,55.3,66,3,4.5,54.6,21.8,100.0,33.0
koo jacheol,55.3,32,0,0.0,55.3,23.9,100.0,32.0
mateo kovacic,55.3,85,5,5.9,54.4,22.8,100.0,32.0
leandro bacuna,55.3,82,5,6.1,54.4,22.7,100.0,27.0
kevin constant,55.3,23,1,4.3,54.7,24.2,100.0,35.0
robin knoche,55.3,26,6,23.1,51.2,18.7,96.0,13.0
james mccarthy,55.3,56,5,8.9,54.0,22.3,98.0,25.0
mario,55.3,117,6,5.1,54.5,22.2,100.0,13.0
lalaina nomenjanahary,55.3,23,1,4.3,54.7,20.5,95.0,33.0
alberto lopo,55.3,29,4,13.8,53.2,24.4,98.0,13.0
rodrigo de paul,55.3,55,1,1.8,55.0,21.6,100.0,33.0
kieran gibbs,55.2,26,2,7.7,54.1,24.2,100.0,13.0
leandro greco,55.2,88,5,5.7,54.3,20.7,100.0,31.0
marvin matip,55.2,37,2,5.4,54.4,20.8,100.0,37.0
francesco valiani,55.2,30,3,10.0,53.7,21.2,97.0,33.0
matias fernandez,55.2,118,7,5.9,54.3,21.5,98.0,32.0
christopher jullien,55.2,16,3,18.8,66.2,23.8,98.0,41.0
rio mavuba,55.2,35,3,8.6,53.9,23.8,100.0,32.0
sambou yatabare,55.2,56,4,7.1,54.1,22.4,100.0,29.0
grzegorz krychowiak,55.2,134,12,9.0,53.8,22.6,96.0,13.0
alex pozuelo,55.2,52,3,5.8,54.1,19.7,100.0,33.0
yannick cahuzac,55.2,46,3,6.5,54.2,23.1,98.0,32.0
marco motta,55.2,44,1,2.3,54.8,21.4,96.0,28.0
zouhair feddal,55.2,30,1,3.3,54.7,21.7,97.0,28.0
moustapha bayal sall,55.1,47,5,10.6,53.6,23.0,99.0,29.0
rene krhin,55.1,47,0,0.0,55.1,21.6,100.0,33.0
daniel schwaab,55.1,40,2,5.0,54.4,24.2,98.0,13.0
bruno peres,55.1,99,7,7.1,54.0,23.2,100.0,13.0
ricardo alvarez,55.1,165,12,7.3,54.1,21.5,100.0,30.0
radja nainggolan,55.1,396,22,5.6,54.2,22.2,100.0,28.0
cristian molinaro,55.1,45,4,8.9,53.8,24.4,100.0,13.0
jonathan brison,55.1,21,1,4.8,54.4,23.0,94.0,32.0
rod fanni,55.1,51,5,9.8,53.6,19.9,97.0,32.0
raffaele rubino,55.1,18,2,11.1,59.6,24.0,100.0,34.0
per mertesacker,55.1,37,1,2.7,54.7,20.2,98.0,35.0
kieran richardson,55.0,44,4,9.1,53.6,24.8,100.0,32.0
jean armel kana biyik,55.0,17,1,5.9,63.8,25.5,96.0,33.0
juraj kucka,55.0,231,13,5.6,54.2,22.3,100.0,26.0
bertrand traore,55.0,17,2,11.8,63.0,22.3,99.0,38.0
modou barrow,55.0,29,1,3.4,54.5,22.5,98.0,34.0
daniel brosinski,55.0,49,1,2.0,54.7,24.0,95.0,28.0
adrian stoian,55.0,38,4,10.5,53.1,19.3,94.0,31.0
nampalys mendy,55.0,27,1,3.7,54.4,23.7,93.0,32.0
christian eigler,55.0,23,1,4.3,54.3,20.9,100.0,38.0
romulo togni,55.0,20,2,10.0,53.6,20.1,88.0,32.0
fredy guarin,55.0,312,15,4.8,54.2,22.5,100.0,27.0
vasco regini,55.0,30,0,0.0,55.0,24.3,97.0,32.0
javier matilla,55.0,17,0,0.0,64.7,24.3,95.0,33.0
francesco matuzalem,55.0,36,2,5.6,54.1,22.8,97.0,32.0
giorgio chiellini,54.9,112,8,7.1,53.7,19.8,97.0,33.0
michael carrick,54.9,33,2,6.1,54.0,21.1,95.0,35.0
matt phillips,54.9,37,4,10.8,53.3,22.6,100.0,33.0
youssouf sabaly,54.9,50,3,6.0,54.0,23.3,100.0,13.0
konstantinos stafylidis,54.9,35,3,8.6,53.6,23.6,95.0,28.0
gregory bourillon,54.9,51,6,11.8,53.1,23.1,97.0,13.0
ramon azeez,54.9,34,2,5.9,54.1,23.4,100.0,32.0
chuli,54.9,18,0,0.0,61.0,23.0,98.0,30.0
juan zuniga,54.9,77,3,3.9,54.3,21.6,100.0,30.0
franck tabanou,54.9,217,11,5.1,54.1,21.8,100.0,29.0
andreas pereira,54.8,41,2,4.9,54.1,22.8,98.0,32.0
joel ward,54.8,61,3,4.9,54.0,22.8,100.0,29.0
charles nzogbia,54.8,26,0,0.0,54.8,21.6,90.0,33.0
daniel congre,54.8,55,5,9.1,53.5,21.4,99.0,27.0
bobby zamora,54.8,28,3,10.7,53.2,23.5,99.0,29.0
francisco silva,54.8,45,1,2.2,54.4,21.4,99.0,29.0
ismael traore,54.8,19,2,10.5,56.2,22.4,98.0,29.0
romain saiss,54.8,26,2,7.7,53.6,25.2,99.0,32.0
patrick van aanholt,54.8,100,9,9.0,53.5,22.9,100.0,32.0
sergio sanchez,54.7,33,1,3.0,54.2,22.9,97.0,13.0
maxime barthelme,54.7,92,3,3.3,54.2,21.2,100.0,32.0
jordi xumetra,54.7,33,1,3.0,54.2,21.7,97.0,32.0
shkodran mustafi,54.7,71,9,12.7,52.8,20.2,98.0,13.0
danilo cataldi,54.7,53,3,5.7,53.8,22.5,95.0,13.0
nathaniel clyne,54.7,71,3,4.2,54.1,21.3,100.0,32.0
marcelo brozovic,54.7,110,8,7.3,53.6,21.5,100.0,32.0
agim ibraimi,54.7,31,2,6.5,53.8,23.1,100.0,31.0
michael krohndehli,54.7,154,3,1.9,54.4,21.5,100.0,32.0
antonio rukavina,54.7,34,3,8.8,53.4,24.9,95.0,13.0
andrea cossu,54.7,103,3,2.9,54.2,22.7,100.0,28.0
lenny nangis,54.7,74,5,6.8,53.6,20.1,94.0,32.0
said benrahma,54.7,17,3,17.6,61.7,25.6,100.0,30.0
alvaro pereira,54.7,18,1,5.6,59.9,26.1,98.0,32.0
bostjan cesar,54.7,69,4,5.8,53.8,22.4,100.0,13.0
david rozehnal,54.7,21,2,9.5,53.2,23.2,97.0,13.0
alen halilovic,54.7,58,3,5.2,54.0,20.9,100.0,33.0
simon kjaer,54.7,66,3,4.5,53.9,19.9,97.0,32.0
marco da silva,54.7,23,1,4.3,54.1,22.4,99.0,32.0
leonardo ponzio,54.6,21,1,4.8,53.9,22.1,95.0,33.0
dennis aogo,54.6,87,2,2.3,54.2,22.3,100.0,28.0
enzo maresca,54.6,59,4,6.8,53.5,20.6,99.0,28.0
davide zappacosta,54.6,57,4,7.0,53.6,22.0,100.0,32.0
robert koren,54.6,20,2,10.0,53.1,22.3,99.0,33.0
gotoku sakai,54.6,42,2,4.8,53.9,23.6,100.0,13.0
ireneusz jelen,54.6,17,1,5.9,63.4,25.4,100.0,35.0
aritz elustondo,54.6,19,2,10.5,55.8,23.5,96.0,35.0
ruben micael,54.6,25,0,0.0,54.6,21.6,99.0,35.0
mehdi mostefa,54.6,125,9,7.2,53.6,22.2,98.0,28.0
damjan djokovic,54.6,50,2,4.0,54.0,23.1,99.0,28.0
nicola rigoni,54.6,34,4,11.8,52.8,21.4,97.0,26.0
cristiano piccini,54.6,37,1,2.7,54.2,22.8,100.0,32.0
kafoumba coulibaly,54.6,35,1,2.9,54.1,20.4,95.0,32.0
eneko boveda,54.6,25,1,4.0,53.9,19.9,97.0,33.0
roberto hilbert,54.5,24,1,4.2,53.8,21.4,95.0,33.0
fabian delph,54.5,89,6,6.7,53.5,23.2,99.0,13.0
sebastian larsson,54.5,84,4,4.8,53.8,20.8,95.0,30.0
kike,54.5,14,2,14.3,75.7,22.5,100.0,36.0
fallou diagne,54.5,41,9,22.0,51.2,23.7,97.0,13.0
laurent batlles,54.5,16,4,25.0,64.4,21.8,99.0,30.0
mohamed sissoko,54.5,24,2,8.3,53.2,21.5,97.0,33.0
kostas manolas,54.5,30,3,10.0,53.0,21.8,99.0,13.0
raul rodriguez,54.5,23,0,0.0,54.5,21.2,98.0,30.0
alberto moreno,54.5,85,6,7.1,53.4,21.8,100.0,31.0
cedric cambon,54.5,39,6,15.4,52.2,22.7,97.0,13.0
jon aurtenetxe,54.5,38,3,7.9,53.3,23.2,100.0,13.0
juan quintero,54.5,63,2,3.2,54.0,22.5,95.0,27.0
pedro lopez,54.5,23,3,13.0,52.6,23.5,100.0,13.0
tolga cigerci,54.5,69,1,1.4,54.3,21.9,97.0,30.0
pablo fornals,54.5,37,4,10.8,52.9,21.8,100.0,29.0
constant djakpa,54.4,29,0,0.0,54.4,21.7,93.0,32.0
makoto hasebe,54.4,39,4,10.3,52.9,23.2,97.0,32.0
hervin ongenda,54.4,18,1,5.6,59.6,27.5,98.0,32.0
jonathan tah,54.4,26,0,0.0,54.0,19.2,97.0,41.0
stephen quinn,54.4,17,1,5.9,63.1,26.6,97.0,35.0
craig dawson,54.4,76,7,9.2,53.0,20.5,99.0,13.0
niklas stark,54.4,37,4,10.8,52.8,22.3,97.0,13.0
jerome roussillon,54.4,34,5,14.7,52.1,25.3,100.0,13.0
bastian oczipka,54.4,46,2,4.3,53.8,21.8,95.0,32.0
bojan jokic,54.4,19,0,0.0,57.2,22.4,100.0,35.0
leo dubois,54.4,21,0,0.0,54.4,21.7,92.0,31.0
elseid hysaj,54.4,24,1,4.2,53.8,23.1,95.0,25.0
dusan basta,54.4,148,9,6.1,53.5,22.2,99.0,13.0
mato jajalo,54.4,70,5,7.1,53.4,23.0,100.0,32.0
nico schulz,54.4,28,1,3.6,53.8,20.6,100.0,33.0
guirane ndaw,54.3,35,0,0.0,54.3,23.1,99.0,31.0
rodrigues,54.3,30,2,6.7,53.3,21.5,100.0,32.0
nicolas nkoulou,54.3,42,5,11.9,52.5,23.7,99.0,13.0
johannes geis,54.3,189,8,4.2,53.7,22.3,95.0,25.0
giannelli  imbula,54.3,41,2,4.9,53.6,22.0,95.0,33.0
marvin plattenhardt,54.3,55,6,10.9,52.7,20.4,95.0,25.0
xabi alonso,54.3,85,7,8.2,53.0,23.0,95.0,13.0
julian baumgartlinger,54.3,55,4,7.3,53.2,23.6,100.0,13.0
benjamin stambouli,54.2,48,3,6.2,53.2,20.8,98.0,32.0
joris marveaux,54.2,42,3,7.1,53.2,21.8,100.0,34.0
emiliano velazquez,54.2,16,4,25.0,64.0,25.5,98.0,30.0
wesley lautoa,54.2,43,3,7.0,53.2,21.3,97.0,33.0
roman hubnik,54.2,17,4,23.5,60.2,28.8,98.0,13.0
eric dier,54.2,55,5,9.1,52.8,20.5,96.0,32.0
raphael varane,54.2,55,2,3.6,52.7,18.1,98.0,38.0
stefan radu,54.2,46,4,8.7,52.9,23.0,100.0,32.0
jeffrey schlupp,54.2,68,5,7.4,53.1,20.6,95.0,13.0
zdravko kuzmanovic,54.2,104,5,4.8,53.5,22.8,100.0,26.0
mergim mavraj,54.2,24,0,0.0,54.2,21.6,98.0,34.0
jordan siebatcheu,54.1,21,1,4.8,53.4,21.2,100.0,31.0
john stones,54.1,22,1,4.5,52.2,17.5,96.0,39.0
anthony reveillere,54.1,21,1,4.8,53.4,23.2,95.0,32.0
victor wanyama,54.1,96,6,6.2,53.1,22.2,98.0,28.0
granit xhaka,54.1,158,7,4.4,53.5,21.5,100.0,28.0
cristiano del grosso,54.1,35,4,11.4,52.4,24.2,90.0,13.0
david abraham,54.1,44,2,4.5,53.4,20.8,97.0,28.0
pascal gross,54.1,94,1,1.1,54.0,21.0,100.0,27.0
mikel aranburu,54.0,20,2,10.0,52.5,23.2,100.0,32.0
florent balmont,54.0,168,5,3.0,53.6,22.1,100.0,31.0
giovanni marchese,54.0,74,6,8.1,52.8,21.9,99.0,32.0
cesare bovo,54.0,66,3,4.5,53.3,23.5,93.0,13.0
nani,54.0,56,2,3.6,53.5,21.8,100.0,30.0
mattia cassani,54.0,34,2,5.9,53.1,22.6,95.0,13.0
jeison murillo,54.0,55,5,9.1,52.6,22.4,100.0,13.0
erik durm,54.0,35,2,5.7,53.2,24.2,100.0,32.0
nemanja radoja,54.0,18,1,5.6,59.2,24.0,100.0,35.0
antonio barragan,54.0,24,1,4.2,53.0,19.2,100.0,35.0
brice dja djedje,54.0,85,4,4.7,53.3,21.9,98.0,30.0
demarai gray,54.0,21,1,4.8,53.3,24.9,95.0,29.0
florentin pogba,54.0,20,2,10.0,52.2,19.5,98.0,35.0
davide santon,53.9,33,0,0.0,53.9,22.7,95.0,32.0
daniele croce,53.9,34,1,2.9,53.5,23.4,100.0,33.0
craig noone,53.9,27,1,3.7,53.3,22.4,100.0,33.0
luca cigarini,53.9,187,7,3.7,53.3,21.1,100.0,31.0
mikel gonzalez,53.9,23,4,17.4,51.3,24.1,96.0,13.0
jonathan rodriguez,53.9,17,0,0.0,63.4,25.8,95.0,32.0
ruben pardo,53.9,102,5,4.9,53.2,20.6,98.0,26.0
tito,53.9,58,3,5.2,53.1,21.1,100.0,32.0
sebastien bassong,53.9,39,2,5.1,53.1,21.6,98.0,13.0
thomas guerbert,53.9,35,2,5.7,53.1,22.8,99.0,32.0
dani alves,53.9,140,5,3.6,53.3,22.2,100.0,27.0
aleksandar kolarov,53.9,130,9,6.9,52.9,22.4,99.0,13.0
suleyman koc,53.8,38,1,2.6,53.4,21.8,95.0,31.0
mariano izco,53.8,92,8,8.7,52.5,22.5,100.0,13.0
asier illarramendi,53.8,86,4,4.7,53.1,22.4,98.0,25.0
kyle naughton,53.8,32,1,3.1,53.3,21.0,94.0,32.0
daniele de rossi,53.8,113,8,7.1,52.7,22.1,100.0,33.0
michael pereira,53.8,101,3,3.0,53.4,20.7,96.0,30.0
jan vertonghen,53.8,44,2,4.5,53.1,21.9,97.0,13.0
andreas beck,53.7,60,4,6.7,52.7,22.7,98.0,13.0
almog cohen,53.7,54,2,3.7,53.1,22.0,100.0,30.0
holger badstuber,53.7,19,0,0.0,56.5,22.7,97.0,35.0
daniel estrada,53.7,18,2,11.1,58.0,23.3,97.0,32.0
pierreemile hojbjerg,53.7,86,2,2.3,53.3,21.3,95.0,28.0
joao cancelo,53.7,23,1,4.3,53.0,22.1,95.0,26.0
vincent koziello,53.7,16,4,25.0,63.4,26.5,100.0,33.0
nicolas pallois,53.7,28,3,10.7,52.1,21.7,98.0,13.0
matthew james,53.7,27,0,0.0,53.7,23.5,100.0,33.0
matteo darmian,53.7,55,3,5.5,52.9,21.4,100.0,32.0
dejan lazarevic,53.6,28,2,7.1,52.2,19.4,100.0,33.0
vieirinha,53.6,126,4,3.2,53.1,21.6,98.0,13.0
simone perrotta,53.6,18,2,11.1,57.9,22.9,98.0,34.0
somalia,53.6,21,0,0.0,53.6,20.4,95.0,35.0
dejan stankovic,53.6,34,0,0.0,53.4,19.4,90.0,35.0
mounir obbadi,53.6,100,7,7.0,52.5,21.3,100.0,32.0
arnold mvuemba,53.6,102,7,6.9,52.6,22.3,100.0,31.0
marc bertran,53.6,24,0,0.0,53.6,20.3,95.0,33.0
marcel buchel,53.6,37,2,5.4,52.8,22.3,98.0,30.0
kevin anin,53.6,27,1,3.7,53.0,22.0,98.0,33.0
francisco punal,53.6,34,2,5.9,52.7,20.3,93.0,32.0
sergi roberto,53.6,31,0,0.0,52.8,18.4,98.0,32.0
franco zuculini,53.6,34,1,2.9,53.1,22.9,95.0,30.0
jonas olsson,53.6,25,4,16.0,51.2,21.6,99.0,13.0
benat,53.6,215,14,6.5,52.6,21.9,100.0,28.0
david timor,53.6,61,3,4.9,52.9,22.8,95.0,13.0
lolo,53.5,48,3,6.2,52.6,23.9,97.0,13.0
jeanbaptiste pierazzi,53.5,27,0,0.0,53.5,22.2,93.0,32.0
marcos alonso,53.5,138,7,5.1,52.7,21.1,100.0,32.0
francesco bolzoni,53.5,24,0,0.0,53.5,21.6,97.0,32.0
sebastian dubarbier,53.5,32,2,6.2,52.6,22.3,99.0,13.0
geoff cameron,53.5,43,1,2.3,52.3,18.2,100.0,33.0
zdenek pospech,53.5,49,2,4.1,52.9,23.3,100.0,13.0
david pizarro,53.5,73,4,5.5,52.7,21.1,98.0,32.0
gabriel torje,53.5,80,5,6.2,52.5,22.5,100.0,27.0
claudio terzi,53.5,18,2,11.1,57.8,23.4,95.0,29.0
florian dick,53.5,21,0,0.0,53.5,22.1,95.0,33.0
bernd nehrig,53.5,24,1,4.2,52.8,23.2,95.0,30.0
gaetan bong,53.5,39,1,2.6,53.2,24.0,99.0,13.0
simone vergassola,53.5,25,2,8.0,52.1,19.6,95.0,33.0
jeff hendrick,53.5,21,2,9.5,52.1,22.9,100.0,31.0
massimo gobbi,53.4,68,5,7.4,52.2,22.0,100.0,25.0
fabian monzon,53.4,69,6,8.7,52.1,20.6,95.0,28.0
yassin mikari,53.4,20,1,5.0,52.6,25.3,98.0,33.0
jeremy toulalan,53.4,77,6,7.8,52.3,21.4,96.0,13.0
fahid ben khalfallah,53.4,38,0,0.0,53.4,23.3,98.0,30.0
samuel umtiti,53.4,53,3,5.7,52.5,20.9,99.0,32.0
danilo soddimo,53.4,45,1,2.2,53.1,22.6,99.0,29.0
carlos martinez,53.4,28,1,3.6,52.8,22.1,97.0,26.0
pajtim kasami,53.4,43,2,4.7,52.2,19.0,95.0,34.0
borja,53.4,73,3,4.1,52.8,23.7,100.0,26.0
stefan kutschke,53.3,23,1,4.3,52.5,19.7,97.0,35.0
omar mascarell,53.3,21,0,0.0,53.3,21.7,90.0,32.0
slawomir peszko,53.3,39,2,5.1,52.5,20.4,98.0,33.0
mathieu deplagne,53.3,25,0,0.0,53.3,20.8,96.0,33.0
danny rose,53.3,86,7,8.1,52.1,22.2,100.0,30.0
christian bruls,53.3,45,1,2.2,53.0,21.9,100.0,32.0
matthew phillips,53.3,42,3,7.1,52.2,21.3,99.0,32.0
salif sane,53.3,121,10,8.3,52.0,22.2,98.0,28.0
giannelli imbula,53.3,32,3,9.4,51.5,19.1,90.0,33.0
juan jesus,53.3,42,1,2.4,52.9,20.7,99.0,33.0
joao mario,53.3,19,2,10.5,54.5,24.3,99.0,32.0
roberto guana,53.3,38,1,2.6,52.9,20.6,99.0,32.0
jorginho,53.3,30,0,0.0,53.3,22.3,90.0,33.0
isaac cofie,53.2,59,3,5.1,52.5,21.5,99.0,32.0
fabien lemoine,53.2,116,5,4.3,52.5,22.1,100.0,31.0
tobias strobl,53.2,29,0,0.0,53.1,19.8,97.0,34.0
mariano,53.2,78,3,3.8,52.6,22.4,99.0,31.0
luciano,53.2,36,3,8.3,51.9,23.4,100.0,13.0
vangelis moras,53.2,37,7,18.9,50.4,23.3,98.0,13.0
miguel britos,53.2,35,5,14.3,51.1,23.0,99.0,13.0
angel rangel,53.2,30,1,3.3,52.7,21.8,98.0,33.0
richard socrier,53.2,16,2,12.5,64.7,24.1,97.0,35.0
lukas schmitz,53.2,24,0,0.0,53.2,20.2,97.0,33.0
julian derstroff,53.2,16,1,6.2,65.6,24.1,99.0,34.0
curtis davies,53.2,45,3,6.7,51.4,18.4,97.0,13.0
gary medel,53.2,114,9,7.9,52.0,22.4,100.0,28.0
ander herrera,53.2,90,9,10.0,51.7,20.4,100.0,32.0
francesco modesto,53.2,17,3,17.6,59.9,25.1,97.0,35.0
dorian leveque,53.2,24,3,12.5,51.3,23.9,100.0,13.0
marco andreolli,53.1,16,5,31.2,61.7,27.5,99.0,13.0
anaitz arbilla,53.1,55,2,3.6,52.6,22.0,90.0,26.0
mirko valdifiori,53.1,34,0,0.0,53.1,22.7,90.0,32.0
dodo,53.1,44,0,0.0,53.1,22.4,97.0,30.0
omar ramos,53.1,58,1,1.7,52.8,21.8,100.0,31.0
braian rodriguez,53.1,17,2,11.8,60.7,22.4,97.0,35.0
sergio tejera,53.1,19,1,5.3,55.1,23.6,99.0,32.0
gabi,53.1,150,8,5.3,52.3,21.6,98.0,13.0
timothee kolodziejczak,53.1,46,4,8.7,51.8,23.4,97.0,13.0
ngolo kante,53.0,79,4,5.1,52.2,22.3,100.0,32.0
tom huddlestone,53.0,108,2,1.9,52.8,21.3,95.0,28.0
landry nguemo,53.0,61,3,4.9,52.2,21.7,100.0,32.0
bradley johnson,53.0,47,4,8.5,51.7,21.1,98.0,13.0
pape abdou camara,53.0,18,0,0.0,58.9,23.0,95.0,36.0
olivier ntcham,53.0,32,1,3.1,51.8,18.5,90.0,33.0
eugen polanski,53.0,120,12,10.0,51.5,21.2,100.0,13.0
casemiro,53.0,30,2,6.7,52.0,21.7,98.0,31.0
marcelo diaz,53.0,27,0,0.0,53.0,21.3,88.0,32.0
juan valera,53.0,37,3,8.1,51.8,21.5,99.0,28.0
facundo roncaglia,53.0,75,6,8.0,51.8,20.3,99.0,31.0
niko kranjcar,52.9,42,2,4.8,52.2,20.0,90.0,32.0
maxime gonalons,52.9,115,7,6.1,52.0,22.0,98.0,13.0
javi marquez,52.9,70,0,0.0,52.9,20.6,94.0,32.0
roque,52.9,34,1,2.9,52.5,21.2,100.0,33.0
ramy bensebaini,52.9,18,2,11.1,57.1,25.8,97.0,29.0
nabil bentaleb,52.9,67,4,6.0,52.0,22.1,97.0,30.0
mathieu coutadeur,52.9,47,3,6.4,51.9,21.2,94.0,33.0
pablo zabaleta,52.9,41,4,9.8,51.0,19.2,100.0,13.0
nuri sahin,52.9,84,6,7.1,51.8,20.4,98.0,32.0
javi chica,52.8,41,2,4.9,52.1,22.8,98.0,27.0
jeremy pied,52.8,99,4,4.0,52.2,21.1,100.0,27.0
sammy ameobi,52.8,32,2,6.2,50.7,17.5,95.0,32.0
emerson,52.8,52,2,3.8,52.2,22.5,90.0,28.0
geoffrey kondogbia,52.8,119,5,4.2,52.2,21.3,100.0,13.0
jerome le moigne,52.8,39,0,0.0,52.8,21.5,97.0,32.0
clemens fritz,52.7,84,2,2.4,52.4,20.4,97.0,30.0
juanfran,52.7,155,7,4.5,52.0,20.9,100.0,13.0
andre biyogo poko,52.7,52,1,1.9,52.4,20.3,97.0,30.0
sebastian boenisch,52.7,80,3,3.8,51.5,18.7,99.0,29.0
maynor figueroa,52.7,21,0,0.0,52.7,23.3,90.0,28.0
luso,52.7,19,1,5.3,54.7,20.8,98.0,28.0
carlos sanchez,52.7,124,4,3.2,52.2,22.1,100.0,25.0
cristian raimondi,52.7,46,1,2.2,52.4,21.7,98.0,29.0
dani ceballos,52.7,24,0,0.0,52.7,21.1,88.0,27.0
ander,52.6,158,7,4.4,51.9,21.0,100.0,29.0
jacheoul koo,52.6,14,3,21.4,71.9,22.0,93.0,43.0
corona,52.6,36,1,2.8,51.8,19.4,100.0,28.0
wellington,52.6,19,0,0.0,55.4,20.6,95.0,33.0
faouzi ghoulam,52.6,98,1,1.0,52.4,23.2,95.0,24.0
mouhamadou dabo,52.6,21,0,0.0,52.6,21.5,90.0,32.0
andres guardado,52.6,39,1,2.6,52.2,23.2,100.0,32.0
pavle ninkov,52.6,38,1,2.6,52.2,21.8,95.0,33.0
oliver kragl,52.6,30,1,3.3,52.0,19.7,93.0,32.0
carlos carbonero,52.6,33,3,9.1,51.1,19.7,98.0,35.0
gianluca lapadula,52.5,13,4,30.8,76.2,25.7,100.0,32.0
gianelli imbula,52.5,24,1,4.2,51.8,21.6,100.0,34.0
danilo avelar,52.5,77,5,6.5,51.5,22.2,98.0,13.0
alban meha,52.5,61,3,4.9,51.7,22.0,95.0,28.0
kevin lejeune,52.5,28,1,3.6,52.0,20.8,94.0,33.0
maurizio domizzi,52.5,39,3,7.7,51.3,20.6,99.0,28.0
albin ekdal,52.5,122,9,7.4,51.4,20.6,100.0,13.0
sandro,52.4,38,3,7.9,51.2,22.3,99.0,13.0
jacquesalaixys romao,52.4,79,5,6.3,51.4,21.6,100.0,26.0
muhamed besic,52.4,21,0,0.0,52.4,22.0,90.0,33.0
uros spajic,52.4,29,0,0.0,51.8,18.8,94.0,36.0
benoit cheyrou,52.4,116,8,6.9,51.4,21.0,100.0,32.0
abdelkader ghezzal,52.4,44,2,4.5,51.7,19.9,95.0,31.0
massimo ambrosini,52.4,38,1,2.6,52.1,22.1,100.0,32.0
wakaso,52.4,47,2,4.3,51.8,22.0,97.0,31.0
massimo donati,52.4,47,3,6.4,50.9,19.0,92.0,31.0
adam pinter,52.3,23,0,0.0,52.3,23.1,95.0,28.0
renan,52.3,26,2,7.7,51.2,20.1,90.0,33.0
stefano morrone,52.3,19,1,5.3,54.1,19.7,96.0,35.0
nacho cases,52.3,48,3,6.2,51.4,23.3,100.0,32.0
nenad krsticic,52.3,33,3,9.1,50.9,22.7,99.0,13.0
andreas lambertz,52.3,38,2,5.3,51.5,23.3,100.0,13.0
youssuf mulumbu,52.3,42,2,4.8,51.5,19.9,93.0,31.0
gabriel paletta,52.2,71,7,9.9,50.7,20.7,99.0,13.0
philipp bargfrede,52.2,65,4,6.2,50.9,19.2,100.0,32.0
gokhan tore,52.2,27,0,0.0,51.8,19.1,94.0,32.0
glenn whelan,52.2,44,1,2.3,51.2,18.7,90.0,29.0
federico viviani,52.2,47,3,6.4,51.2,21.0,100.0,32.0
kevin vogt,52.2,62,2,3.2,51.8,20.3,99.0,31.0
